s,k,res,s2,acc
128,5,0.6,16,0.305344
128,5,0.6,24,0.305344
128,5,0.6,32,0.305344
128,5,0.6,48,0.305344
128,5,0.6,64,0.305344
128,5,0.6,96,0.305344
128,5,0.6,128,0.305344
128,5,0.6,192,0.305344
128,5,0.6,256,0.305344
128,5,0.7,3,0.305344
128,5,0.7,5,0.305344
128,5,0.7,8,0.305344
128,5,0.7,16,0.305344
128,5,0.7,24,0.305344
128,5,0.7,32,0.305344
128,5,0.7,48,0.305344
128,5,0.7,64,0.305344
128,5,0.7,96,0.305344
128,5,0.7,128,0.305344
128,5,0.7,192,0.305344
128,5,0.7,256,0.305344
128,5,0.8,3,0.305344
128,5,0.8,5,0.305344
128,5,0.8,8,0.305344
128,5,0.8,16,0.305344
128,5,0.8,24,0.305344
128,5,0.8,32,0.305344
128,5,0.8,48,0.305344
128,5,0.8,64,0.305344
128,5,0.8,96,0.305344
128,5,0.8,128,0.305344
128,5,0.8,192,0.305344
128,5,0.8,256,0.305344
128,5,0.9,3,0.305344
128,5,0.9,5,0.305344
128,5,0.9,8,0.305344
128,5,0.9,16,0.305344
128,5,0.9,24,0.305344
128,5,0.9,32,0.305344
128,5,0.9,48,0.305344
128,5,0.9,64,0.305344
128,5,0.9,96,0.305344
128,5,0.9,128,0.305344
128,5,0.9,192,0.305344
128,5,0.9,256,0.305344
128,5,1.0,3,0.700902
128,5,1.0,5,0.684941
128,5,1.0,8,0.701249
128,5,1.0,16,0.713046
128,5,1.0,24,0.703331
128,5,1.0,32,0.706107
128,5,1.0,48,0.626995
128,5,1.0,64,0.728661
128,5,1.0,96,0.660999
128,5,1.0,128,0.575295
128,5,1.0,192,0.581888
128,5,1.0,256,0.624566
128,5,1.1,3,0.700902
128,5,1.1,5,0.684941
128,5,1.1,8,0.701249
128,5,1.1,16,0.713046
128,5,1.1,24,0.703331
128,5,1.1,32,0.706107
128,5,1.1,48,0.626995
128,5,1.1,64,0.728661
128,5,1.1,96,0.660999
128,5,1.1,128,0.575295
128,5,1.1,192,0.581888
128,5,1.1,256,0.624566
128,5,1.2,3,0.700902
128,5,1.2,5,0.684941
128,5,1.2,8,0.701249
128,5,1.2,16,0.713046
