s,k,res,acc_mean,acc_std,n_runs
128,10,1.0,0.697432,0.0,3
128,10,1.1,0.697432,0.0,3
128,10,1.2,0.697432,0.0,3
128,10,1.3,0.697432,0.0,3
128,10,1.4,0.697432,0.0,3
128,10,1.5,0.697432,0.0,3
128,15,0.6,0.305344,0.0,3
128,15,0.7,0.305344,0.0,3
128,15,0.8,0.305344,0.0,3
128,15,0.9,0.305344,0.0,3
128,15,1.0,0.712353,0.0,3
128,15,1.1,0.712353,0.0,3
128,15,1.2,0.712353,0.0,3
128,15,1.3,0.712353,0.0,3
128,15,1.4,0.712353,0.0,3
128,15,1.5,0.712353,0.0,3
128,20,0.6,0.305344,0.0,3
128,20,0.7,0.305344,0.0,3
128,20,0.8,0.305344,0.0,3
128,20,0.9,0.305344,0.0,3
128,20,1.0,0.677307,0.0,3
128,20,1.1,0.677307,0.0,3
128,20,1.2,0.677307,0.0,3
128,20,1.3,0.677307,0.0,3
128,20,1.4,0.677307,0.0,3
128,20,1.5,0.677307,0.0,3
128,30,0.6,0.305344,0.0,3
128,30,0.7,0.305344,0.0,3
128,30,0.8,0.305344,0.0,3
128,30,0.9,0.305344,0.0,3
128,30,1.0,0.674532,0.0,3
128,30,1.1,0.674532,0.0,3
128,30,1.2,0.674532,0.0,3
128,30,1.3,0.674532,0.0,3
128,30,1.4,0.674532,0.0,3
128,30,1.5,0.674532,0.0,3
256,5,0.6,0.305344,0.0,3
256,5,0.7,0.305344,0.0,3
256,5,0.8,0.305344,0.0,3
256,5,0.9,0.305344,0.0,3
256,5,1.0,0.730743,0.0,3
256,5,1.1,0.730743,0.0,3
256,5,1.2,0.730743,0.0,3
256,5,1.3,0.730743,0.0,3
256,5,1.4,0.730743,0.0,3
256,5,1.5,0.730743,0.0,3
256,10,0.6,0.305344,0.0,3
256,10,0.7,0.305344,0.0,3
256,10,0.8,0.305344,0.0,3
256,10,0.9,0.305344,0.0,3
256,10,1.0,0.761277,0.0,3
256,10,1.1,0.761277,0.0,3
256,10,1.2,0.761277,0.0,3
256,10,1.3,0.761277,0.0,3
256,10,1.4,0.761277,0.0,3
256,10,1.5,0.761277,0.0,3
256,15,0.6,0.305344,0.0,3
256,15,0.7,0.305344,0.0,3
256,15,0.8,0.305344,0.0,3
256,15,0.9,0.305344,0.0,3
256,15,1.0,0.689452,0.0,3
256,15,1.1,0.689452,0.0,3
256,15,1.2,0.689452,0.0,3
256,15,1.3,0.689452,0.0,3
