s,k,res,acc_mean,acc_std,n_runs
2,15,1.3,0.1439972,0.01411229862779271,10
2,15,1.4,0.1402845,0.02968994188694211,10
2,15,1.5,0.134039,0.019479824485862288,10
2,20,0.6,0.2117974,0.028296017561487335,10
2,20,0.7,0.22883420000000002,0.041371343593845256,10
2,20,0.8,0.20204729999999999,0.026155710122457012,10
2,20,0.9,0.2032964,0.029697512169203667,10
2,20,1.0,0.1902846,0.020006681170049168,10
2,20,1.1,0.1688066,0.019916954456944462,10
2,20,1.2,0.1717904,0.019398872602293154,10
2,20,1.3,0.1748091,0.017480325748967036,10
2,20,1.4,0.1664122,0.02923141094028819,10
2,20,1.5,0.15458,0.02462168294816583,10
2,30,0.6,0.2512838,0.03821333890358183,10
2,30,0.7,0.2509717,0.028688836518931896,10
2,30,0.8,0.2207149,0.03152285796830611,10
2,30,0.9,0.2096113,0.024445111278331294,10
2,30,1.0,0.2145038,0.02098346631421986,10
2,30,1.1,0.2027064,0.034739081637832625,10
2,30,1.2,0.1880291,0.027866184390583512,10
2,30,1.3,0.1825817,0.02755216451769261,10
2,30,1.4,0.1689104,0.028561664892649375,10
2,30,1.5,0.15818859999999998,0.02255666528190725,10
4,5,0.6,0.2459056,0.02967825948804949,10
4,5,0.7,0.2242887,0.022037742389137777,10
4,5,0.8,0.2096113,0.025630288894392117,10
4,5,0.9,0.2201942,0.03787596975867417,10
4,5,1.0,0.206558,0.02843849905322009,10
4,5,1.1,0.1828938,0.04375691632142283,10
4,5,1.2,0.1667592,0.014726321637123101,10
4,5,1.3,0.1661347,0.029249527743367067,10
4,5,1.4,0.16776560000000001,0.031192861578252164,10
4,5,1.5,0.1558639,0.016525067899709218,10
4,10,0.6,0.3738723,0.07758662902079197,10
4,10,0.7,0.3154407,0.06256674618845062,10
4,10,0.8,0.2939278,0.05657976632472071,10
4,10,0.9,0.26419159999999997,0.03219135789680205,10
4,10,1.0,0.2434421,0.029066635293580168,10
4,10,1.1,0.2353226,0.035524066169851674,10
4,10,1.2,0.2244969,0.022044188056945985,10
4,10,1.3,0.2335531,0.03218731492513782,10
4,10,1.4,0.2120056,0.03571715326338312,10
4,10,1.5,0.190805,0.02846965042988761,10
4,15,0.6,0.3679042,0.06021512064390472,10
4,15,0.7,0.3581541,0.08059464055934489,10
4,15,0.8,0.29920199999999997,0.04541459452202563,10
4,15,0.9,0.30832750000000003,0.05785726735207946,10
4,15,1.0,0.3256072,0.054523834369567224,10
4,15,1.1,0.2785217,0.03915859490086435,10
4,15,1.2,0.2746008,0.06050317572789052,10
4,15,1.3,0.262318,0.042915097094146246,10
4,15,1.4,0.22619709999999998,0.04782306738060619,10
4,15,1.5,0.2141569,0.0318224707728674,10
4,20,0.6,0.3699167,0.08146122737112424,10
4,20,0.7,0.3471201,0.06802419298227654,10
4,20,0.8,0.3567313,0.0508788664163226,10
4,20,0.9,0.3245663,0.055366847853295736,10
4,20,1.0,0.3020819,0.07038292108239043,10
4,20,1.1,0.2705411,0.042440745772076155,10
4,20,1.2,0.2732823,0.03982882718848246,10
4,20,1.3,0.26963929999999997,0.0325096365837885,10
4,20,1.4,0.2397642,0.027945295374355958,10
4,20,1.5,0.2304995,0.03655278220395815,10
4,30,0.6,0.4395211,0.06699416445101768,10
4,30,0.7,0.3938237,0.050140009563321784,10
4,30,0.8,0.3767175,0.07728090539874646,10
4,30,0.9,0.382408,0.07817809066356124,10
4,30,1.0,0.3066273,0.02909728276334408,10
4,30,1.1,0.3416724,0.0652315370985538,10
4,30,1.2,0.3006938,0.058424679971395645,10
